error	AC147602.5_FG004
error	AC148152.3_FG001
error	AC148152.3_FG005
error	AC148152.3_FG006
error	AC148152.3_FG008
AC148167.6_FG001	Sb02g004800	Si029611m.g	LOC_Os07g08790	Bradi1g55170	none
AC185265.3_FG003	none	none	none	none	none
AC185276.2_FG004	none	none	none	none	none
AC185276.2_FG006	Sb03g023480	Si000560m.g	none	none	none
AC185281.5_FG006	none	none	none	none	none
AC185300.4_FG002	Sb04g008280	Si017476m.g	LOC_Os02g13650	Bradi3g08830	none
AC185305.3_FG003	none	none	none	none	none
AC185415.3_FG005	Sb02g032170	none	none	none	none
AC185422.3_FG005	none	Si017938m.g	LOC_Os02g43000	Bradi3g50090	none
AC185427.5_FG004	none	none	none	none	none
AC185443.3_FG004	none	none	none	none	none
AC185460.3_FG004	none	none	none	none	none
AC185466.3_FG001	Sb04g027870	Si016422m.g	LOC_Os02g51430	Bradi3g59230	none
AC185471.3_FG005	Sb04g028810	Si019861m.g	none	Bradi3g56877	none
AC185473.3_FG005	none	none	none	none	none
AC185475.3_FG001	none	none	none	none	none
AC185478.4_FG005	Sb04g027770	Si019327m.g	none	none	none
AC185478.4_FG007	none	none	none	none	none
AC185487.4_FG001	none	none	none	none	none
AC185500.3_FG001	none	none	none	none	none
AC185501.3_FG001	Sb04g034730	Si016200m.g	LOC_Os02g53520	Bradi3g57387	none
AC185501.3_FG006	Sb04g034590	Si016143m.g	LOC_Os02g53270	Bradi3g57560	none
AC185504.4_FG002	none	none	none	none	none
AC185522.2_FG002	none	none	none	none	none
AC185530.2_FG004	none	none	none	none	none
AC185586.4_FG003	none	none	none	none	none
AC185587.3_FG003	none	none	none	none	none
AC185588.2_FG002	none	none	none	none	none
AC185593.3_FG003	none	none	none	none	none
AC185605.3_FG003	none	none	none	none	none
AC185610.3_FG001	none	none	none	none	none
AC185611.3_FG001	none	none	none	none	none
AC185623.4_FG010	none	none	none	none	none
AC185623.4_FG012	none	none	none	none	none
AC185628.3_FG010	Sb01g007980	Si039703m.g	LOC_Os03g53910	Bradi1g08510	none
AC185642.4_FG001	Sb04g029240	none	none	none	none
AC185648.3_FG007	none	none	none	none	none
error	AC185649.2_FG003
AC185655.3_FG004	none	Si012167m.g	none	none	none
AC185655.3_FG005	none	Si012167m.g	LOC_Os04g39520	none	none
AC185656.3_FG002	none	none	none	none	none
AC185660.3_FG003	Sb04g029240	none	LOC_Os02g49530	none	none
AC186009.3_FG001	none	none	none	none	none
AC186013.3_FG001	none	none	none	none	none
AC186145.3_FG002	none	none	none	none	none
AC186147.3_FG008	Sb04g029500	Si017303m.g	LOC_Os02g49140	Bradi3g56507	none
AC186156.3_FG004	none	none	none	none	none
AC186156.3_FG005	none	none	none	none	none
AC186164.3_FG001	none	none	none	none	none
AC186166.3_FG008	none	Si039933m.g	LOC_Os03g61360	Bradi1g03110	none
AC186189.3_FG004	none	none	none	none	none
AC186189.3_FG005	none	none	none	none	none
AC186195.4_FG001	none	none	none	none	none
AC186231.4_FG002	Sb07g023800	none	none	none	none
AC186233.3_FG007	none	none	none	none	none
AC186283.4_FG002	none	none	none	none	none
AC186284.3_FG007	none	none	none	none	none
AC186287.7_FG005	Sb04g035900	Si019173m.g	LOC_Os02g55270	none	none
AC186309.3_FG002	none	none	none	none	none
AC186309.3_FG006	none	none	none	none	none
AC186310.4_FG004	none	none	none	none	none
AC186322.4_FG003	none	none	none	none	none
AC186322.4_FG005	none	none	none	none	none
AC186329.3_FG006	none	none	none	none	none
AC186337.3_FG003	none	none	none	none	none
AC186375.3_FG001	none	none	none	none	none
AC186404.3_FG002	none	none	none	none	none
error	AC186406.4_FG006
AC186408.5_FG005	none	none	none	none	none
AC186412.4_FG011	none	none	none	none	none
AC186417.3_FG004	none	none	none	none	none
AC186417.3_FG006	none	none	none	none	none
AC186424.4_FG009	none	none	none	none	none
AC186431.5_FG001	none	none	none	none	none
AC186433.4_FG001	none	none	none	none	none
AC186493.4_FG002	none	none	none	none	none
AC186500.3_FG001	none	none	none	none	none
AC186506.3_FG001	none	none	none	none	none
AC186512.3_FG007	none	none	none	none	none
AC186519.4_FG002	Sb01g012770	Si040192m.g	LOC_Os03g45850	Bradi1g13127	none
error	AC186524.3_FG005
error	AC186524.3_FG006
AC186563.4_FG004	none	none	none	none	none
AC186577.3_FG006	Sb07g000850	Si015533m.g	LOC_Os08g01670	Bradi3g13275	none
AC186579.3_FG007	none	none	none	none	none
AC186581.3_FG003	none	none	none	none	none
AC186583.3_FG004	none	none	none	none	none
error	AC186585.4_FG002
AC186590.3_FG005	none	none	none	none	none
AC186590.3_FG006	none	none	none	none	none
AC186592.3_FG002	none	none	none	none	none
AC186592.3_FG003	none	none	none	none	none
AC186602.4_FG003	Sb01g028350	Si037540m.g	none	none	none
AC186603.6_FG003	Sb08g020350	none	none	none	none
AC186606.4_FG003	Sb07g028900	Si014433m.g	LOC_Os08g38020	Bradi3g38840	none
AC186611.4_FG005	none	none	none	none	none
AC186613.4_FG003	none	none	none	none	none
AC186619.3_FG001	none	none	none	none	none
AC186647.3_FG001	none	none	none	none	none
AC186653.4_FG005	none	none	none	none	none
AC186656.4_FG004	none	none	none	none	none
AC186656.4_FG012	Sb01g004990	Si034445m.g	none	none	none
AC186663.3_FG006	none	none	none	none	none
AC186667.3_FG007	none	none	none	none	none
AC186669.3_FG002	none	none	none	none	none
AC186684.4_FG001	none	none	none	none	none
AC186691.4_FG006	none	none	none	none	none
AC186743.4_FG003	none	none	none	none	none
AC186781.4_FG006	none	none	none	none	none
AC186782.4_FG003	none	none	none	none	none
AC186785.4_FG002	none	none	none	none	none
AC186789.4_FG001	none	none	none	none	none
AC186800.3_FG005	none	none	none	none	none
AC186807.4_FG002	none	none	none	none	none
AC186815.3_FG003	none	none	none	none	none
AC186828.3_FG001	none	none	none	none	none
AC186845.4_FG009	Sb02g038510	none	none	none	none
AC186897.4_FG016	Sb03g006860	none	LOC_Os01g04390	Bradi2g02420	none
AC186902.4_FG006	none	none	none	none	none
AC186902.4_FG009	none	none	none	none	none
AC186904.4_FG007	none	none	none	none	none
error	AC186905.3_FG013
AC187037.4_FG008	none	none	none	none	none
AC187046.3_FG009	none	none	none	none	none
AC187056.3_FG002	none	none	none	none	none
error	AC187065.3_FG003
AC187067.4_FG001	none	none	none	none	none
AC187072.4_FG001	none	none	none	none	none
AC187072.4_FG002	none	none	none	none	none
AC187080.3_FG006	none	none	none	none	none
AC187080.3_FG007	none	none	none	none	none
AC187082.3_FG003	none	none	none	none	none
AC187086.3_FG004	none	none	none	none	none
AC187088.3_FG002	none	none	none	none	none
AC187090.3_FG003	none	none	none	none	none
AC187090.3_FG011	none	none	none	none	none
AC187092.6_FG003	none	none	none	none	none
AC187096.5_FG001	none	none	none	none	none
AC187098.4_FG011	Sb02g044040	Si029377m.g	LOC_Os07g49380	Bradi1g16527	none
AC187099.5_FG005	none	none	none	none	none
AC187142.3_FG007	none	none	none	none	none
AC187157.4_FG001	Sb03g002630	Si002749m.g	LOC_Os01g10370	Bradi2g06180	none
AC187157.4_FG002	Sb03g002640	Si002246m.g	LOC_Os01g10350	Bradi2g06190	none
AC187157.4_FG005	Sb03g002660	Si000283m.g	LOC_Os01g10320	Bradi2g06210	none
AC187160.3_FG003	none	none	none	none	none
AC187207.3_FG006	none	none	none	none	none
AC187209.5_FG003	none	none	none	none	none
AC187209.5_FG010	none	none	none	none	none
AC187212.3_FG011	none	none	none	none	none
AC187217.4_FG004	none	none	none	none	none
AC187222.4_FG001	none	none	none	none	none
AC187235.3_FG003	none	none	none	none	none
error	AC187241.4_FG009
AC187243.3_FG005	none	none	LOC_Os05g44220	Bradi2g19630	none
AC187262.4_FG007	Sb07g028060	Si014273m.g	none	none	none
AC187263.4_FG001	none	none	none	none	none
AC187279.3_FG003	none	none	none	none	none
AC187279.3_FG004	none	none	none	none	none
AC187283.3_FG005	none	Si009047m.g	none	none	none
AC187393.3_FG001	Sb03g006540	Si000776m.g	LOC_Os01g04880	Bradi2g02760	none
AC187404.3_FG003	none	none	none	none	none
AC187404.3_FG006	none	none	none	none	none
AC187460.4_FG002	none	none	none	none	none
AC187469.3_FG005	none	none	none	none	none
AC187485.3_FG001	none	none	none	none	none
AC187551.3_FG002	none	Si025343m.g	LOC_Os05g28720	Bradi2g28390	none
AC187560.5_FG003	Sb02g003130	none	LOC_Os07g05830	Bradi1g58490	none
AC187567.4_FG004	none	none	none	none	none
AC187782.4_FG009	none	none	none	none	none
AC187789.3_FG001	none	none	LOC_Os06g13910	none	none
AC187800.4_FG003	none	none	none	none	none
AC187802.3_FG008	none	Si024030m.g	LOC_Os05g43252	Bradi2g20430	none
AC187809.3_FG005	none	none	none	none	none
AC187813.3_FG002	none	none	none	none	none
AC187818.3_FG004	none	none	none	none	none
AC187826.3_FG007	none	none	none	none	none
AC187843.3_FG001	none	none	none	none	none
AC187843.3_FG006	none	none	none	none	none
AC187843.3_FG010	none	none	none	none	none
AC187870.3_FG002	none	none	none	none	none
AC187872.3_FG005	none	none	none	none	none
AC187879.3_FG001	none	none	none	none	none
AC187885.3_FG002	none	none	none	none	none
AC187887.3_FG008	none	none	none	none	none
AC187891.3_FG006	Sb08g003630	Si012923m.g	LOC_Os12g06160	Bradi4g42080	none
AC187895.2_FG001	none	none	none	none	none
AC187895.2_FG002	none	none	none	none	none
AC187896.3_FG006	none	Si023793m.g	none	none	none
AC187899.3_FG002	none	none	none	none	none
AC187901.4_FG004	none	none	none	none	none
AC187903.3_FG004	none	none	none	none	none
AC187910.5_FG002	none	none	none	none	none
AC188000.3_FG003	none	none	none	none	none
AC188001.3_FG009	none	none	none	none	none
AC188003.3_FG012	none	none	none	none	none
AC188023.3_FG005	Sb09g028980	Si023538m.g	LOC_Os05g49410	Bradi2g15950	none
AC188023.3_FG011	none	none	none	none	none
AC188036.3_FG003	none	none	none	none	none
AC188128.3_FG002	none	none	none	none	none
AC188134.2_FG011	none	none	none	none	none
error	AC188195.2_FG003
error	AC188195.2_FG004
error	AC188195.2_FG005
AC188296.3_FG004	none	none	none	none	none
AC188582.3_FG002	none	none	none	none	none
AC188583.4_FG003	none	Si008098m.g	none	none	none
AC188612.3_FG009	none	none	none	none	none
AC188710.4_FG006	none	none	none	none	none
AC188718.3_FG005	none	none	none	none	none
AC188718.3_FG011	none	none	none	none	none
AC188718.3_FG015	none	none	none	none	none
AC188721.3_FG001	none	none	none	none	none
AC188722.3_FG002	none	none	none	none	none
AC188723.3_FG001	none	none	none	none	none
AC188724.3_FG006	none	none	none	none	none
AC188727.3_FG003	none	none	none	none	none
AC188735.3_FG001	none	none	none	none	none
AC188744.3_FG009	none	none	none	none	none
AC188745.3_FG001	none	none	none	none	none
AC188752.3_FG008	none	none	none	none	none
AC188753.3_FG004	none	none	none	none	none
AC188755.3_FG001	none	none	none	none	none
AC188756.2_FG004	none	none	none	none	none
AC188757.4_FG004	none	none	none	none	none
AC188831.3_FG005	none	none	none	none	none
AC188838.3_FG005	Sb09g021310	Si021679m.g	LOC_Os05g35580	Bradi2g24360	none
error	AC188964.3_FG002
AC188978.3_FG008	none	none	none	none	none
AC189044.2_FG005	none	none	LOC_Os01g49950	none	none
AC189048.2_FG001	none	none	none	none	none
AC189052.3_FG003	none	none	none	none	none
AC189056.3_FG001	none	none	none	none	none
AC189060.4_FG007	none	none	none	none	none
error	AC189078.3_FG004
AC189084.3_FG002	none	none	none	none	none
AC189280.3_FG001	none	none	none	none	none
AC189694.3_FG003	none	none	none	none	none
AC189750.4_FG004	Sb02g034370	Si029784m.g	LOC_Os07g32570	Bradi1g26530	none
AC189752.3_FG003	none	none	none	none	none
AC189753.3_FG002	none	none	none	none	none
AC189770.3_FG002	none	none	none	none	none
AC189771.3_FG001	none	none	none	none	none
AC189792.3_FG005	none	none	none	none	none
AC189795.3_FG001	none	none	none	none	none
AC189796.3_FG004	none	none	none	none	none
AC189879.3_FG003	Sb10g023230	Si005792m.g	LOC_Os06g39640	none	argonaute
AC189883.3_FG002	none	none	none	none	none
AC190035.1_FG005	none	none	none	none	none
AC190225.2_FG001	none	none	none	none	none
AC190480.1_FG007	Sb05g026300	Si028151m.g	none	none	none
AC190485.1_FG004	none	none	none	none	none
AC190491.1_FG002	none	none	none	none	none
AC190496.1_FG002	none	none	none	none	none
AC190498.1_FG007	none	none	none	none	none
AC190507.1_FG007	none	none	none	none	none
AC190526.3_FG004	none	none	none	none	none
AC190544.2_FG004	none	none	none	none	none
AC190549.3_FG004	none	none	none	none	none
AC190560.2_FG002	none	none	none	none	none
AC190565.2_FG003	none	none	none	none	none
AC190570.3_FG003	none	none	none	none	none
AC190572.4_FG001	none	none	none	none	none
AC190576.2_FG002	none	none	none	none	none
AC190587.3_FG005	none	none	none	none	none
AC190589.2_FG002	none	none	none	none	none
AC190590.3_FG001	none	none	none	none	none
AC190609.3_FG001	Sb07g025490	Si015587m.g	none	Bradi3g41817	none
AC190609.3_FG002	Sb07g025470	Si015707m.g	none	Bradi3g41835	none
AC190609.3_FG003	Sb07g025450	Si014288m.g	LOC_Os08g42920	Bradi3g41850	none
AC190609.3_FG004	Sb07g025440	none	none	Bradi3g42090	none
AC190609.3_FG005	Sb07g025530	Si015098m.g	LOC_Os08g42780	none	none
AC190613.3_FG001	none	none	none	none	none
AC190614.3_FG004	none	none	none	none	none
AC190623.3_FG001	Sb03g036090	Si003335m.g	LOC_Os01g56680	Bradi2g51480	none
AC190623.3_FG002	Sb03g036070	Si000400m.g	LOC_Os01g56660	none	none
AC190628.4_FG007	Sb04g027890	Si020120m.g	LOC_Os02g51400	Bradi3g59247	none
AC190630.2_FG001	none	none	none	none	none
AC190632.2_FG004	Sb04g033160	Si017922m.g	none	none	none
AC190634.1_FG005	none	none	none	none	none
AC190636.3_FG005	Sb01g000660	Si036296m.g	LOC_Os03g63900	none	none
AC190638.3_FG001	Sb04g029240	none	LOC_Os02g49530	none	none
AC190643.4_FG011	none	none	none	none	none
AC190652.3_FG001	none	none	none	none	none
AC190665.3_FG006	none	none	none	none	none
AC190671.4_FG003	none	none	none	none	none
AC190677.3_FG003	none	none	none	none	none
AC190685.3_FG005	none	none	none	none	none
AC190688.3_FG006	Sb03g038440	Si004768m.g	LOC_Os01g61020	none	none
AC190693.1_FG009	none	none	none	none	none
AC190695.3_FG003	none	none	none	none	none
AC190701.3_FG001	none	none	none	none	none
AC190716.3_FG001	none	none	none	none	none
AC190734.2_FG003	Sb01g010690	Si038692m.g	LOC_Os03g49880	Bradi1g11060	none
AC190740.2_FG004	none	none	none	none	none
AC190743.3_FG012	Sb01g034060	Si035433m.g	LOC_Os03g25980	Bradi1g61200	none
AC190744.2_FG010	none	none	none	none	none
AC190749.3_FG006	none	none	none	none	none
AC190750.2_FG014	none	none	none	none	none
AC190751.4_FG008	Sb04g033970	Si019340m.g	LOC_Os02g52380	Bradi3g58180	none
AC190756.4_FG007	none	none	none	none	none
AC190757.3_FG001	none	none	none	none	none
error	AC190763.3_FG002
AC190771.2_FG003	none	none	none	none	none
AC190772.4_FG011	Sb07g005270	Si014424m.g	LOC_Os08g09040	Bradi3g15190	none
AC190788.2_FG004	none	none	none	none	none
AC190788.2_FG005	none	Si029133m.g	LOC_Os07g30240	Bradi1g27377	none
AC190789.3_FG005	none	none	none	none	none
AC190792.2_FG006	Sb06g033120	Si023199m.g	LOC_Os04g58330	none	none
AC190799.2_FG010	none	none	none	none	none
AC190807.2_FG001	none	none	none	none	none
AC190809.2_FG002	none	none	none	none	none
AC190811.1_FG003	none	none	none	none	none
AC190812.3_FG006	none	none	none	none	none
AC190816.3_FG007	none	none	none	none	none
AC190832.2_FG003	none	none	none	none	none
AC190832.2_FG006	none	none	none	none	none
error	AC190834.3_FG005
AC190841.2_FG007	none	none	none	none	none
AC190851.3_FG003	none	none	none	none	none
AC190858.3_FG004	none	none	none	none	none
AC190858.3_FG005	none	none	none	none	none
error	AC190882.3_FG003
AC190883.2_FG005	none	none	none	none	none
AC190885.4_FG006	Sb05g001390	Si011870m.g	LOC_Os11g02750	Bradi4g44200	none
AC190909.3_FG004	Sb10g030970	Si005663m.g	LOC_Os06g51270	Bradi1g29622	none
AC190913.3_FG002	none	none	none	none	none
AC190915.3_FG007	none	Si034111m.g	LOC_Os03g52700	Bradi1g09390	none
AC190922.3_FG007	none	none	none	none	none
AC190925.2_FG002	none	none	none	none	none
AC190932.3_FG008	none	none	none	none	none
AC190933.3_FG004	Sb03g005760	none	none	none	none
AC190934.3_FG003	none	none	none	none	none
AC190978.3_FG007	none	none	none	none	none
AC190985.3_FG006	none	Si033763m.g	LOC_Os09g32180	none	none
AC190990.2_FG005	none	none	none	none	none
AC190999.2_FG004	Sb02g025710	Si028830m.g	LOC_Os09g26760	Bradi4g31227	none
AC191009.3_FG004	Sb01g001020	Si037651m.g	LOC_Os03g63450	Bradi1g01500	none
AC191012.2_FG001	none	none	none	none	none
AC191040.2_FG002	none	none	none	none	none
AC191042.4_FG001	none	none	none	none	none
AC191048.2_FG006	Sb01g005080	Si037052m.g	LOC_Os03g58410	Bradi1g05370	none
AC191049.3_FG007	none	none	none	none	none
AC191050.3_FG003	none	none	none	none	none
AC191064.3_FG007	none	none	none	none	none
AC191067.3_FG005	none	none	none	none	none
AC191069.3_FG004	Sb03g012340	Si003437m.g	LOC_Os01g19400	Bradi2g11457	none
AC191069.3_FG007	none	none	none	none	none
AC191070.3_FG006	none	none	none	none	none
AC191071.3_FG001	Sb01g045120	Si035105m.g	LOC_Os03g08410	Bradi1g72500	none
AC191073.2_FG001	none	none	none	none	none
